t,q1,qd1,qdd1,q2,qd2,qdd2
0,0,1,1,0,1,1
0.01,0.00999983,0.99995,1.00995,-0.958924,-0.418622,-0.00371881
0.02,0.0199987,0.9998,1.0198,-0.544021,-0.960168,0.496798
0.03,0.0299955,0.99955,1.02955,0.650288,-0.339705,-1.97802
0.04,0.0399893,0.9992,1.03919,0.912945,0.259302,0.0914695
0.05,0.0499792,0.99875,1.04873,-0.132352,0.15131,0.0212873
0.06,0.059964,0.998201,1.05816,-0.988032,-0.0278613,0.65536
0.07,0.0699428,0.997551,1.06749,-0.428183,0.32572,1.52779
0.08,0.0799147,0.996802,1.07672,0.745113,0.599613,-1.13939
0.09,0.0898785,0.995953,1.08583,0.850904,-0.0602267,-0.0171336
0.1,0.0998334,0.995004,1.09484,-0.262375,-1.10145,-1.34544
0.11,0.109778,0.993956,1.10373,-0.999755,-0.995329,-0.039817
0.12,0.119712,0.992809,1.11252,-0.304811,0.539043,1.42447
0.13,0.129634,0.991562,1.1212,0.826829,1.73428,-0.0226592
0.14,0.139543,0.990216,1.12976,0.773891,0.910628,1.11698
0.15,0.149438,0.988771,1.13821,-0.387782,-1.14747,-1.47456
0.16,0.159318,0.987227,1.14655,-0.993889,-1.95155,-0.738234
0.17,0.169182,0.985585,1.15477,-0.176076,-0.451239,0.0714861
0.18,0.17903,0.983844,1.16287,0.893997,1.55431,-0.140836
0.19,0.188859,0.982004,1.17086,0.683262,1.67197,1.9865
0.2,0.198669,0.980067,1.17874,-0.506366,-0.0982836,-0.465215
0.21,0.20846,0.978031,1.18649,-0.970535,-1.51826,-0.0800107
0.22,0.21823,0.975897,1.19413,-0.0442427,-1.0442,-0.911562
0.23,0.227978,0.973666,1.20164,0.945435,0.412602,-1.1489
0.24,0.237703,0.971338,1.20904,0.580611,1.00479,1.36962
0.25,0.247404,0.968912,1.21632,-0.61604,0.375162,0.0206748
0.26,0.257081,0.96639,1.22347,-0.930106,-0.283187,1.33016
0.27,0.266731,0.963771,1.2305,0.0883687,-0.20377,-0.468185
0.28,0.276356,0.961055,1.23741,0.98024,0.0176338,-1.35042
0.29,0.285952,0.958244,1.2442,0.467745,-0.280312,0.0787881
0.3,0.29552,0.955336,1.25086,-0.714876,-0.560625,-0.845504
0.31,0.305059,0.952334,1.25739,-0.873312,0.0414304,1.76563
0.32,0.314567,0.949235,1.2638,0.219425,1.05365,0.406068
0.33,0.324043,0.946042,1.27009,0.997797,0.984521,-0.145658
0.34,0.333487,0.942755,1.27624,0.346649,-0.501921,-0.19826
0.35,0.342898,0.939373,1.28227,-0.801135,-1.70483,-1.86263
0.36,0.352274,0.935897,1.28817,-0.801153,-0.929116,0.830952
0.37,0.361615,0.932327,1.29394,0.346621,1.11204,0.115149
0.38,0.37092,0.928665,1.29959,0.997799,1.95287,1.0874
0.39,0.380188,0.924909,1.3051,0.219455,0.486098,0.694853
0.4,0.389418,0.921061,1.31048,-0.873297,-1.54024,-1.51786
0.41,0.398609,0.917121,1.31573,-0.714898,-1.70224,0.0124152
0.42,0.40776,0.913089,1.32085,0.467719,0.0677332,-1.2268
0.43,0.416871,0.908966,1.32584,0.980246,1.53536,0.942867
0.44,0.425939,0.904752,1.33069,0.0883987,1.08824,1.17595
0.45,0.434966,0.900447,1.33541,-0.930095,-0.404773,-0.157962
0.46,0.443948,0.896052,1.34,-0.616064,-1.04824,0.538365
0.47,0.452886,0.891568,1.34445,0.580587,-0.411749,-1.93776
0.48,0.461779,0.886995,1.34877,0.945445,0.305301,-0.0241276
0.49,0.470626,0.882333,1.35296,-0.0442126,0.25638,0.212254
0.5,0.479426,0.877583,1.35701,-0.970528,-0.00556199,0.497194
0.51,0.488177,0.872745,1.36092,-0.506392,0.235763,1.61548
0.52,0.49688,0.867819,1.3647,0.68324,0.520249,-1.16079
0.53,0.505533,0.862807,1.36834,0.89401,-0.0242726,-0.117166
0.54,0.514136,0.857709,1.37184,-0.176046,-1.00536,-1.1759
0.55,0.522687,0.852525,1.37521,-0.993885,-0.971759,-0.197357
0.56,0.531186,0.847255,1.37844,-0.387809,0.465411,1.56814
0.57,0.539632,0.841901,1.38153,0.773872,1.67374,-0.0803848
0.58,0.548024,0.836463,1.38449,0.826846,0.946026,1.04926
0.59,0.556361,0.830941,1.3873,-0.304782,-1.07586,-1.35164
0.6,0.564642,0.825336,1.38998,-0.999756,-1.95217,-0.908231
0.61,0.572867,0.819648,1.39252,-0.262404,-0.520506,0.248316
0.62,0.581035,0.813878,1.39491,0.850888,1.52439,-0.220517
0.63,0.589145,0.808028,1.39717,0.745133,1.73103,1.97978
0.64,0.597195,0.802096,1.39929,-0.428155,-0.0362982,-0.381995
0.65,0.605186,0.796084,1.40127,-0.988036,-1.55049,-0.257701
0.66,0.613117,0.789992,1.40311,-0.132382,-1.13203,-0.737214
0.67,0.620986,0.783822,1.40481,0.912933,0.395163,-1.26292
0.68,0.628793,0.777573,1.40637,0.650311,1.09045,1.42818
0.69,0.636537,0.771246,1.40778,-0.543996,0.449395,0.0804697
0.7,0.644218,0.764842,1.40906,-0.958933,-0.325614,1.17729
0.71,0.651834,0.758362,1.4102,-3.01444e-05,-0.309053,-0.308962
0.72,0.659385,0.751806,1.41119,0.958916,-0.00833486,-1.51132
0.73,0.66687,0.745174,1.41204,0.544046,-0.192146,0.176777
0.74,0.674288,0.738469,1.41276,-0.650265,-0.478548,-0.816305
0.75,0.681639,0.731689,1.41333,-0.912958,0.00879372,1.66682
0.76,0.688921,0.724836,1.41376,0.132322,0.956653,0.562015
0.77,0.696135,0.717911,1.41405,0.988027,0.957052,-0.335843
0.78,0.703279,0.710914,1.41419,0.42821,-0.429593,-0.0838742
0.79,0.710353,0.703845,1.4142,-0.745093,-1.64106,-1.88987
0.8,0.717356,0.696707,1.41406,-0.850919,-0.961307,0.783582
0.81,0.724287,0.689498,1.41379,0.262346,1.03903,0.270372
0.82,0.731146,0.682221,1.41337,0.999755,1.94943,0.905375
0.83,0.737931,0.674876,1.41281,0.304839,0.554379,0.8302
0.84,0.744643,0.667463,1.41211,-0.826812,-1.50684,-1.61015
0.85,0.75128,0.659983,1.41126,-0.77391,-1.75829,-0.00414891
0.86,0.757843,0.652437,1.41028,0.387754,0.0040554,-1.09853
0.87,0.764329,0.644827,1.40916,0.993892,1.56364,0.789117
0.88,0.770739,0.637151,1.40789,0.176105,1.17548,1.34608
0.89,0.777072,0.629412,1.40648,-0.893983,-0.383806,-0.291012
0.9,0.783327,0.62161,1.40494,-0.683284,-1.13136,0.54973
0.91,0.789504,0.613746,1.40325,0.50634,-0.488028,-1.86764
0.92,0.795602,0.60582,1.40142,0.970543,0.344098,-0.158779
0.93,0.80162,0.597834,1.39945,0.0442728,0.361701,0.405887
0.94,0.807558,0.589788,1.39735,-0.945426,0.0240339,0.353348
0.95,0.813416,0.581683,1.3951,-0.580636,0.149538,1.67564
0.96,0.819192,0.57352,1.39271,0.616017,0.435586,-1.15094
0.97,0.824886,0.5653,1.39019,0.930117,0.00496948,-0.241952
0.98,0.830497,0.557023,1.38752,-0.0883387,-0.907627,-0.995275
0.99,0.836026,0.54869,1.38472,-0.980234,-0.940413,-0.348044
1,0.841471,0.540302,1.38177,-0.467772,0.394547,1.6892
1.01,0.846832,0.531861,1.37869,0.714855,1.60686,-0.107752
1.02,0.852108,0.523366,1.37547,0.873327,0.974912,0.952442
1.03,0.857299,0.514819,1.37212,-0.219396,-1.00163,-1.21033
1.04,0.862404,0.50622,1.36862,-0.997795,-1.94466,-1.07931
1.05,0.867423,0.497571,1.36499,-0.346678,-0.587637,0.409397
1.06,0.872355,0.488872,1.36123,0.801117,1.4876,-0.272463
1.07,0.877201,0.480124,1.35732,0.801171,1.78395,1.94168
1.08,0.881958,0.471328,1.35329,-0.346593,0.0289167,-0.27471
1.09,0.886627,0.462485,1.34911,-0.997801,-1.5748,-0.44474
1.1,0.891207,0.453596,1.3448,-0.219484,-1.2185,-0.570756
1.11,0.895699,0.444662,1.34036,0.873283,0.370738,-1.3535
1.12,0.9001,0.435682,1.33578,0.714919,1.17089,1.45572
1.13,0.904412,0.42666,1.33107,-0.467692,0.527575,0.168489
1.14,0.908633,0.417595,1.32623,-0.980252,-0.360731,1.00722
1.15,0.912764,0.408487,1.32125,-0.0884287,-0.414239,-0.149645
1.16,0.916803,0.39934,1.31614,0.930084,-0.0415084,-1.65492
1.17,0.920751,0.390152,1.3109,0.616088,-0.108009,0.24646
1.18,0.924606,0.380925,1.30553,-0.580562,-0.391433,-0.756276
1.19,0.928369,0.37166,1.30003,-0.945455,-0.0169837,1.54444
1.2,0.932039,0.362358,1.2944,0.0441824,0.858363,0.725902
1.21,0.935616,0.353019,1.28864,0.970521,0.921857,-0.516489
1.22,0.939099,0.343646,1.28275,0.506418,-0.360349,0.00658894
1.23,0.942489,0.334238,1.27673,-0.683218,-1.57119,-1.88576
1.24,0.945784,0.324796,1.27058,-0.894024,-0.9868,0.708304
1.25,0.948985,0.315322,1.26431,0.176016,0.963731,0.441178
1.26,0.95209,0.305817,1.25791,0.993882,1.93787,0.724441
1.27,0.955101,0.296281,1.25138,0.387837,0.620196,0.94732
1.28,0.958016,0.286715,1.24473,-0.773852,-1.46675,-1.67316
1.29,0.960835,0.277121,1.23796,-0.826863,-1.80797,-0.0510439
1.3,0.963558,0.267499,1.23106,0.304753,-0.0625381,-0.947804
1.31,0.966185,0.25785,1.22403,0.999757,1.58397,0.628331
1.32,0.968715,0.248175,1.21689,0.262433,1.26102,1.50506
1.33,0.971148,0.238476,1.20962,-0.850872,-0.356,-0.399178
1.34,0.973485,0.228753,1.20224,-0.745153,-1.20898,0.530046
1.35,0.975723,0.219007,1.19473,0.428128,-0.56796,-1.7699
1.36,0.977865,0.209239,1.1871,0.988041,0.375493,-0.307852
1.37,0.979908,0.19945,1.17936,0.132412,0.466577,0.596657
1.38,0.981854,0.189641,1.17149,-0.912921,0.0607282,0.228455
1.39,0.983701,0.179813,1.16351,-0.650334,0.0676305,1.70601
1.4,0.98545,0.169967,1.15542,0.543971,0.346157,-1.11071
1.41,0.9871,0.160104,1.1472,0.958941,0.027219,-0.387802
1.42,0.988652,0.150225,1.13888,6.02887e-05,-0.80895,-0.808889
1.43,0.990105,0.140332,1.13044,-0.958907,-0.901405,-0.48662
1.44,0.991458,0.130424,1.12188,-0.544072,0.327076,1.78414
1.45,0.992713,0.120503,1.11322,0.650242,1.53411,-0.10415
1.46,0.993868,0.11057,1.10444,0.91297,0.996929,0.828992
1.47,0.994924,0.100626,1.09555,-0.132292,-0.925428,-1.05539
1.48,0.995881,0.0906716,1.08655,-0.988022,-1.92905,-1.24595
1.49,0.996738,0.0807084,1.07745,-0.428237,-0.651978,0.550226
1.5,0.997495,0.0707372,1.06823,0.745073,1.44432,-0.294651
1.51,0.998152,0.0607589,1.05891,0.850935,1.83029,1.8733
1.52,0.99871,0.0507745,1.04948,-0.262317,0.0967276,-0.147217
1.53,0.999168,0.040785,1.03995,-0.999754,-1.59112,-0.635733
1.54,0.999526,0.0307915,1.03032,-0.304868,-1.30295,-0.417372
1.55,0.999784,0.0207948,1.02058,0.826795,0.339633,-1.41731
1.56,0.999942,0.0107961,1.01074,0.773929,1.24558,1.45187
1.57,1,0.000796327,1.0008,-0.387726,0.609105,0.282039
1.58,0.999958,-0.00920354,0.990754,-0.993895,-0.388367,0.824835
1.59,0.999816,-0.0192025,0.980613,-0.176135,-0.51863,0.00426777
1.6,0.999574,-0.0291995,0.970374,0.89397,-0.0816597,-1.77685
1.61,0.999232,-0.0391936,0.960038,0.683306,-0.028469,0.286033
1.62,0.99879,-0.0491838,0.949606,-0.506314,-0.299831,-0.666756
1.63,0.998248,-0.0591691,0.939079,-0.97055,-0.0356494,1.40251
1.64,0.997606,-0.0691484,0.928458,-0.0443029,0.759473,0.892294
1.65,0.996865,-0.0791209,0.917744,0.945416,0.879079,-0.682496
1.66,0.996024,-0.0890854,0.906939,0.58066,-0.294799,0.070025
1.67,0.995083,-0.099041,0.896042,-0.615993,-1.49568,-1.85019
1.68,0.994043,-0.108987,0.885056,-0.930128,-1.00526,0.608016
1.69,0.992904,-0.118922,0.873982,0.0883086,0.886805,0.622569
1.7,0.991665,-0.128844,0.86282,0.980228,1.91822,0.550074
1.71,0.990327,-0.138755,0.851572,0.467798,0.682904,1.04202
1.72,0.98889,-0.148651,0.840239,-0.714834,-1.42039,-1.70531
1.73,0.987354,-0.158532,0.828822,-0.873341,-1.85087,-0.126703
1.74,0.985719,-0.168397,0.817322,0.219366,-0.131403,-0.778816
1.75,0.983986,-0.178246,0.80574,0.997793,1.59628,0.465983
1.76,0.982154,-0.188077,0.794077,0.346706,1.3442,1.6479
1.77,0.980224,-0.197889,0.782336,-0.801099,-0.321686,-0.479555
1.78,0.978197,-0.207681,0.770516,-0.801189,-1.28063,0.479443
1.79,0.976071,-0.217452,0.758619,0.346565,-0.650931,-1.64767
1.8,0.973848,-0.227202,0.746646,0.997803,0.399343,-0.466258
1.81,0.971527,-0.236929,0.734598,0.219513,0.570311,0.779116
1.82,0.969109,-0.246632,0.722477,-0.873268,0.104265,0.126551
1.83,0.966594,-0.256311,0.710283,-0.71494,-0.00941002,1.70528
1.84,0.963983,-0.265964,0.698019,0.467665,0.252531,-1.04188
1.85,0.961275,-0.27559,0.685685,0.980258,0.0422523,-0.550362
1.86,0.958471,-0.285189,0.673282,0.0884588,-0.710019,-0.622254
1.87,0.955572,-0.294759,0.660812,-0.930073,-0.854907,-0.608206
1.88,0.952576,-0.3043,0.648276,-0.616112,0.263591,1.85027
1.89,0.949486,-0.313811,0.635675,0.580538,1.45598,-0.0699413
1.9,0.9463,-0.32329,0.623011,0.945465,1.01177,0.682229
1.91,0.94302,-0.332736,0.610284,-0.0441523,-0.847946,-0.892012
1.92,0.939645,-0.34215,0.597496,-0.970513,-1.9054,-1.40277
1.93,0.936177,-0.351529,0.584648,-0.506444,-0.712896,0.666933
1.94,0.932615,-0.360873,0.571742,0.683196,1.39499,-0.285991
1.95,0.92896,-0.370181,0.558779,0.894037,1.86966,1.77667
1.96,0.925212,-0.379452,0.54576,-0.175987,0.16648,-0.00401334
1.97,0.921371,-0.388685,0.532686,-0.993879,-1.59943,-0.825154
1.98,0.917438,-0.397879,0.519559,-0.387865,-1.38469,-0.281826
1.99,0.913413,-0.407033,0.50638,0.773833,0.302208,-1.4519
2,0.909297,-0.416147,0.493151,0.82688,1.31407,1.41723
2.01,0.905091,-0.425219,0.479872,-0.304724,0.693358,0.417619
2.02,0.900793,-0.434248,0.466545,-0.999757,-0.408412,0.635407
2.03,0.896406,-0.443234,0.453171,-0.262462,-0.621535,0.147449
2.04,0.891929,-0.452176,0.439752,0.850856,-0.128505,-1.87344
2.05,0.887362,-0.461073,0.42629,0.745173,0.0459442,0.294639
2.06,0.882707,-0.469923,0.412784,-0.428101,-0.204331,-0.550006
2.07,0.877964,-0.478727,0.399238,-0.988046,-0.0470091,1.24567
2.08,0.873133,-0.487482,0.385651,-0.132441,0.660677,1.05567
2.09,0.868215,-0.496189,0.372026,0.912908,0.828919,-0.829223
2.1,0.863209,-0.504846,0.358363,0.650357,-0.233521,0.104182
2.11,0.858118,-0.513453,0.344665,-0.543945,-1.41508,-1.784
2.12,0.85294,-0.522008,0.330932,-0.95895,-1.01642,0.486397
2.13,0.847678,-0.530511,0.317167,-9.04331e-05,0.808937,0.809208
2.14,0.84233,-0.538961,0.303369,0.958899,1.89061,0.387539
2.15,0.836899,-0.547358,0.289541,0.544097,0.741881,1.1108
2.16,0.831383,-0.555699,0.275684,-0.650219,-1.3682,-1.70599
2.17,0.825785,-0.563985,0.2618,-0.912982,-1.88662,-0.228649
2.18,0.820104,-0.572215,0.247889,0.132262,-0.201875,-0.596337
2.19,0.814341,-0.580387,0.233954,0.988018,1.60059,0.307589
2.2,0.808496,-0.588501,0.219995,0.428264,1.42435,1.77009
2.21,0.802571,-0.596557,0.206015,-0.745053,-0.281251,-0.530106
2.22,0.796565,-0.604552,0.192013,-0.850951,-1.34585,0.399017
2.23,0.79048,-0.612488,0.177993,0.262288,-0.736304,-1.5048
2.24,0.784316,-0.620362,0.163954,0.999753,0.415569,-0.628608
2.25,0.778073,-0.628174,0.1499,0.304897,0.672216,0.948078
2.26,0.771753,-0.635923,0.13583,-0.826778,0.154334,0.050939
2.27,0.765355,-0.643608,0.121747,-0.773948,-0.0810739,1.67308
2.28,0.758881,-0.65123,0.107651,0.387698,0.15531,-0.947138
2.29,0.752331,-0.658786,0.0935448,0.993899,0.0499045,-0.724745
2.3,0.745705,-0.666276,0.0794292,0.176165,-0.611531,-0.440877
2.31,0.739005,-0.6737,0.0653056,-0.893956,-0.80115,-0.708455
2.32,0.732231,-0.681056,0.0511756,-0.683328,0.204655,1.88579
2.33,0.725384,-0.688344,0.0370404,0.506288,1.37304,-0.00645711
2.34,0.718465,-0.695563,0.0229015,0.970557,1.01919,0.516192
