t,q1,qd1,qdd1,q2,qd2,qdd2
0,0,1,1,0,1,10
0.001,0.001,1,1.001,1,1,10
0.002,0.002,0.999998,1.002,2,1,10
0.003,0.003,0.999996,1.003,3,1,10
0.004,0.00399999,0.999992,1.00399,4,1,10
0.005,0.00499998,0.999988,1.00499,5,1,10
0.006,0.00599996,0.999982,1.00598,6,1,10
0.007,0.00699994,0.999976,1.00698,7,1,10
0.008,0.00799991,0.999968,1.00797,8,1,10
0.009,0.00899988,0.99996,1.00896,9,1,10
0.01,0.00999983,0.99995,1.00995,10,1,10
0.011,0.0109998,0.99994,1.01094,11,1,10
0.012,0.0119997,0.999928,1.01193,12,1,10
0.013,0.0129996,0.999916,1.01292,13,1,10
0.014,0.0139995,0.999902,1.0139,14,1,10
